Source.Name,cod_pessoa,data_coleta,genero,data_nascimento,animal_estimacao,clima,bebida_favorita,hobbies
2020-01-01.csv,10141743,1/1/2020,Masculino,4/25/1981,peixe,frio,Cerveja,Praticar esporte
2020-01-01.csv,10141860,1/1/2020,Feminino,1/19/1966,peixe,quente,Café,Assistir TV
2020-01-01.csv,10142548,1/1/2020,Masculino,8/2/1973,tartaruga,frio,Café,Ler livros
2020-01-01.csv,10142591,1/1/2020,Masculino,3/5/1997,gato,moderado,Cerveja,Aprender algo novo
2020-01-01.csv,10142654,1/1/2020,Feminino,8/5/1969,tartaruga,moderado,Café,Assistir TV
2020-01-02.csv,10141523,1/2/2020,Feminino,9/24/1998,gato,quente,Cerveja,Aprender algo novo
2020-01-02.csv,10141996,1/2/2020,Feminino,3/13/1973,tartaruga,quente,refrigerante,Escrever
2020-01-02.csv,10142089,1/2/2020,Feminino,3/23/1970,gato,moderado,Água,Pintar quadros
2020-01-02.csv,10142145,1/2/2020,Masculino,8/1/1998,peixe,frio,refrigerante,Escrever
2020-01-02.csv,10142520,1/2/2020,Masculino,5/9/1994,peixe,moderado,Café,Praticar esporte
2020-01-02.csv,10143160,1/2/2020,Feminino,9/18/1967,tartaruga,moderado,Vinho,Dormir
2020-01-03.csv,10141712,1/3/2020,Masculino,8/13/1951,peixe,moderado,Chá,Praticar esporte
2020-01-03.csv,10141987,1/3/2020,Feminino,4/23/1978,cachorro,frio,Chá,Escrever
2020-01-03.csv,10142093,1/3/2020,Masculino,9/3/1986,gato,frio,refrigerante,Pintar quadros
2020-01-03.csv,10142325,1/3/2020,Masculino,10/18/1965,gato,quente,refrigerante,Dormir
2020-01-03.csv,10142552,1/3/2020,Masculino,6/27/1982,tartaruga,quente,Café,Assistir TV
2020-01-03.csv,10142598,1/3/2020,Masculino,9/27/1953,cachorro,moderado,Café,Ler livros
2020-01-03.csv,10143013,1/3/2020,Masculino,4/1/1959,gato,frio,Água,Assistir TV
2020-01-04.csv,10141570,1/4/2020,Feminino,11/9/1953,tartaruga,quente,Cerveja,Aprender algo novo
2020-01-04.csv,10141851,1/4/2020,Feminino,10/24/1977,gato,moderado,Café,Ler livros
2020-01-04.csv,10141938,1/4/2020,Feminino,3/5/1957,gato,moderado,Café,Escrever
2020-01-04.csv,10142733,1/4/2020,Masculino,1/12/1978,tartaruga,quente,Cerveja,Pintar quadros
2020-01-04.csv,10142851,1/4/2020,Masculino,12/22/1982,gato,frio,refrigerante,Dormir
2020-01-04.csv,10142941,1/4/2020,Masculino,4/19/1966,gato,quente,Vinho,Praticar esporte
2020-01-04.csv,10143484,1/4/2020,Masculino,5/31/1976,gato,moderado,Café,Dormir
2020-01-05.csv,10141877,1/5/2020,Feminino,5/24/1963,tartaruga,moderado,refrigerante,Pintar quadros
2020-01-05.csv,10142310,1/5/2020,Masculino,8/22/1978,peixe,quente,Cerveja,Aprender algo novo
2020-01-05.csv,10142471,1/5/2020,Masculino,2/23/1979,cachorro,frio,Chá,Aprender algo novo
